having_ip_address,abnormal_url,google_index,count_dot,count_www,count_atrate,no_of_dir,no_of_embed,shortening_service,count_http,count_https,count_per,count_ques,count_hyphen,count_equal,url_length,hostname_length,suspicious_words,digit_count,letter_count,fd_length,has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
0,1,1,2,0,0,3,0,0,1,1,0,0,1,0,104,19,0,6,89,4,1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,452,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://cloudflare-ipfs.com/ipfs/bafybeigrvqwbq6srtwovhnt7fqmnwazsueigjepmas67gqtjrpgfm5c5pu/office.html,1
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,17,10,0,0,13,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,16,0,0,2,1,13,6,0,0,0,279,0,14,0,7,0,1,0,0,0,0,6,0,0,0,0,9,0,http://wbplay.com,0
0,1,1,2,0,0,5,0,0,1,1,0,1,1,3,167,15,0,22,126,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,127,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vS3UUegNRP7I8S8ofZSBA4K6hDOBbKd2PgQMg0q_FyEJ9d0m960uM3tSbLt6BVKHB3RJxemz_XFHBfY/pub?start=false&loop=false&delayms=3000,1
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,18,11,0,0,14,0,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,37,0,0,16,18,12,28,0,1,1,4563,0,95,10,292,8,0,1,0,0,0,8,1,0,0,0,56,0,http://tgdaily.com,0
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,20,13,0,0,16,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,23,0,0,29,9,29,39,0,1,1,1470,1,38,8,44,0,1,0,0,1,0,6,1,0,0,0,4,0,http://hardasses.com,0
0,1,1,3,0,0,1,0,0,1,1,0,0,2,0,58,49,0,2,47,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,20,0,0,0,177,0,3,1,11,0,0,0,0,0,0,2,0,0,0,0,3,0,https://server-connection-u4dl0.sitebeat.crazydomains.com/,1
0,1,1,3,0,0,5,0,0,1,1,0,1,2,4,190,15,0,17,148,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,26,0,0,0,116,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQuLvntFRQM4v8VoMIY4lnR_3sJlQVAWctfO3x8dnMJHBJduqGBAnAz0-wPTW0abClKFvlPkD7LQ6O9/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,20,13,1,0,16,0,1,1,1,0,0,1,0,0,1,0,0,4,2,0,5,189,0,0,17,28,17,44,1,1,0,8377,0,248,18,156,0,1,1,0,1,1,21,1,0,0,0,8,0,http://tatrabanka.sk,0
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,20,13,0,0,16,0,1,1,1,0,1,1,0,0,0,0,0,6,18,0,0,214,0,0,7,16,18,187,0,1,0,14354,0,257,19,301,0,1,1,0,1,0,6,1,0,1,30,358,0,http://holycross.edu,0
0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,21,14,0,0,17,0,1,1,1,0,0,1,0,0,0,0,0,5,13,0,0,0,0,0,29,19,14,53,0,1,1,2290,0,49,49,192,0,1,1,0,1,0,10,1,0,0,0,16,0,http://beyondmeat.com,0
